generated,log_probs,linear_probs,correct_answer
"['A', ')', ' Fro', 'th', ' in', ' mouth', ' and', ' nostr', 'ils']","[-0.00070838263, -9.0883464e-07, -5.4385737e-06, -5.7961847e-06, -1.0280384e-06, -4.0722858e-05, -1.9361265e-07, -3.888926e-06, -1.7478143e-05]","[99.92918682137406, 99.9999091165773, 99.9994561441089, 99.99942038320978, 99.99989719621284, 99.99592779711644, 99.99998063873687, 99.99961110815619, 99.99825220097418]",A
"['B', ')', ' S', 'ickle', ' cell', ' an', 'emia']","[-1.2039101, -4.3202e-07, -1.9361265e-07, 0.0, -1.700133e-05, -5.5122365e-07, -1.342522e-05]","[30.001881188756798, 99.99995679800934, 99.99998063873687, 100.0, 99.99829988145218, 99.9999448776502, 99.99865748701178]",B
"['D', ')', ' Gross', ' negligence']","[-0.0014192804, -3.1281633e-07, 0.0, -9.627177e-05]","[99.85817263021065, 99.99996871837189, 100.0, 99.99037328639781]",D
"['A', ')', ' Pol', 'ys', 'ac', 'char', 'ide']","[-0.00018542144, -1.0280384e-06, -2.6968896e-06, -1.6240566e-06, -3.0113732e-05, -4.365741e-06, -9.0883464e-07]","[99.98145957494927, 99.99989719621284, 99.99973031140365, 99.99983759447187, 99.99698867214138, 99.99956342685299, 99.9999091165773]",A
"['A', ')', ' ', '3', 'rd', ' left', ' inter', 'cost', 'al', ' space']","[-0.5435234, -6.704273e-07, -1.7239736e-05, -8.657073e-06, -1.3856493e-06, -5.4385737e-06, -5.5122365e-07, -2.58224e-05, -2.9636918e-05, -7.89631e-07]","[58.06986101566832, 99.99993295729247, 99.99827604126034, 99.99913429644724, 99.99986143516601, 99.9994561441089, 99.9999448776502, 99.99741779333952, 99.99703635211691, 99.99992103693117]",A
"['A', ')', ' Flex', 'ion', ',', ' abduction', ' &', ' external', ' rotation']","[-0.00030078492, -3.1281633e-07, -1.7432603e-06, -5.2001665e-06, 0.0, -2.6968896e-06, -3.650519e-06, -3.2929079e-06, -6.704273e-07]","[99.9699260311249, 99.99996871837189, 99.99982567412195, 99.99947998470209, 100.0, 99.99973031140365, 99.99963494876631, 99.99967070975217, 99.99993295729247]",B
"['B', ')', ' S', 'ux', 'am', 'eth', 'onium']","[-0.0065911445, -3.1281633e-07, -1.7432603e-06, -1.9361265e-07, -1.8624639e-06, 0.0, -9.0883464e-07]","[99.34305294480585, 99.99996871837189, 99.99982567412195, 99.99998063873687, 99.99981375378344, 100.0, 99.9999091165773]",B
"['D', ')', ' Per', 'meth', 'rin']","[-0.033573892, -1.9361265e-07, -1.147242e-06, -1.0683535e-05, -2.3438328e-05]","[96.69834562499105, 99.99998063873687, 99.99988527586581, 99.99893165220688, 99.99765619466756]",A
"['C', ')', ' Continuous', ' electrical', ' fetal', ' heart', ' monitoring']","[-0.00042650447, -3.1281633e-07, -9.372295e-06, -0.001372969, -1.147242e-06, -0.0033130576, -0.0023149995]","[99.95735864701022, 99.99996871837189, 99.99906277489198, 99.86279730907344, 99.99988527586581, 99.66924245194669, 99.76876780447724]",C
"['A', ')', ' TLC']","[-0.0021522844, -9.0883464e-07, -1.9361265e-07]","[99.78500301032817, 99.9999091165773, 99.99998063873687]",D
"['A', ')', ' Salmon', 'ella', ' ty', 'ph', 'im', 'ur', 'ium']","[-1.9757037, -7.89631e-07, -3.5313153e-06, -1.6882126e-05, -0.00014215785, -2.1769476e-05, -1.7239736e-05, -2.2246291e-05, -9.0883464e-07]","[13.866370025633545, 99.99992103693117, 99.99964686909351, 99.99831180165023, 99.98578522539484, 99.99782307609534, 99.99827604126034, 99.9977753956447, 99.9999091165773]",A
"['D', ')', ' End', 'oth', 'el', 'ium']","[-0.00016945181, 0.0, -3.1281633e-07, -9.729906e-06, -1.7432603e-06, -1.9361265e-07]","[99.98305625461471, 100.0, 99.99996871837189, 99.99902701413353, 99.99982567412195, 99.99998063873687]",D
"['A', ')', ' Ne', 'ut', 'roph', 'il']","[-0.07114476, -1.0280384e-06, -1.147242e-06, -9.253091e-06, -4.9617593e-06, -5.2001665e-06]","[93.1327063463222, 99.99989719621284, 99.99988527586581, 99.99907469518097, 99.99950382530095, 99.99947998470209]",D
"['C', ')', ' Dop', 'pler', ' law', '.']","[-0.017013427, -6.704273e-07, -1.9361265e-07, -6.749814e-06, -0.00040195213, -0.0011424804]","[98.31304840532783, 99.99993295729247, 99.99998063873687, 99.99932502087799, 99.95981286419348, 99.88581719822639]",A
"['C', ')', ' Mono', 'zy', 'g', 'otic', ' twins']","[-0.0042412817, -4.3202e-07, -5.2001665e-06, 0.0, -2.1008714e-06, -1.9361265e-07, -4.4849444e-06]","[99.57676998330057, 99.99995679800934, 99.99947998470209, 100.0, 99.99978991308069, 99.99998063873687, 99.99955150656574]",C
"['B', ')', ' Mar', 'fan', ""'s"", ' syndrome']","[-1.4058286, -3.1281633e-07, -5.5122365e-07, -8.89548e-06, -9.849109e-06, -0.0001309527]","[24.5163829518496, 99.99996871837189, 99.9999448776502, 99.99911045595647, 99.99901509395023, 99.98690558739305]",A
"['A', ')', ' Em', 'ery', '-D', 're', 'if', 'uss', ' muscular', ' dyst', 'rophy']","[-0.04248383, -1.7432603e-06, -3.1281633e-07, -1.0280384e-06, -1.3856493e-06, -6.511407e-06, -4.365741e-06, -1.9816675e-06, -1.18755715e-05, -5.5122365e-07, -2.4153549e-05]","[95.84059628200697, 99.99982567412195, 99.99996871837189, 99.99989719621284, 99.99986143516601, 99.99934886141992, 99.99956342685299, 99.99980183344636, 99.99881244990144, 99.9999448776502, 99.99758467426946]",D
"['A', ')', ' P', 'ector', 'alis', ' major']","[-1.3411918, -1.7432603e-06, -3.1281633e-07, -2.6968896e-06, -2.7252845e-05, -7.433829e-05]","[26.153378679978108, 99.99982567412195, 99.99996871837189, 99.99973031140365, 99.99727475263555, 99.99256644730222]",B
"['C', ')', ' ', '95', '%']","[-0.7189163, -3.1281633e-07, -6.392203e-06, -4.723352e-06, -2.3392786e-06]","[48.72800353053415, 99.99996871837189, 99.99936078174301, 99.9995276659155, 99.9997660724136]",B
"['A', ')', ' Me', 'as', 'les']","[-0.5251879, -1.3856493e-06, -8.061054e-06, -5.080963e-06, -2.577686e-06]","[59.14442215560446, 99.99986143516601, 99.99919389784903, 99.9994919049908, 99.99974223173223]",B
"['C', ')', ' Trend', 'elen', 'berg', ' position']","[-0.7990184, -3.1281633e-07, -1.147242e-06, -8.657073e-06, -1.2590794e-05, -2.1008714e-06]","[44.97702419721379, 99.99996871837189, 99.99988527586581, 99.99913429644724, 99.99874092852637, 99.99978991308069]",A
"['A', ')', ' Persistent', ' chest', ' pain', ' with', ' ST', ' elevation', ' >', ' ', '60', ' min', ' after', ' throm', 'bol', 'ysis']","[-0.096133456, -1.3856493e-06, -3.4121115e-06, -1.9816675e-06, 0.0, -1.9361265e-07, -4.3202e-07, -3.0545007e-06, -3.7697225e-06, -0.00023071514, -4.00813e-06, -8.061054e-06, 0.0, -1.9361265e-07, -6.704273e-07, -1.9816675e-06]","[90.83427841847188, 99.99986143516601, 99.99965878943212, 99.99980183344636, 100.0, 99.99998063873687, 99.99995679800934, 99.9996945503965, 99.99962302846053, 99.97693114726913, 99.99959918780326, 99.99919389784903, 100.0, 99.99998063873687, 99.99993295729247, 99.99980183344636]",C
"['A', ')', ' Acceler', 'ates', ' bacterial', ' and', ' viral', ' replication']","[-0.14798374, -6.9882217e-06, -0.000102827966, -1.735894e-05, -3.2929079e-06, -1.9361265e-07, -3.888926e-06, -1.9361265e-07]","[86.2445138185983, 99.99930118027176, 99.98971773206141, 99.99826412106655, 99.99967070975217, 99.99998063873687, 99.99961110815619, 99.99998063873687]",D
"['B', ')', ' U', 'ter', 'us']","[-0.8365284, -6.704273e-07, -9.0883464e-07, -7.226629e-06, -6.511407e-06]","[43.321185418430396, 99.99993295729247, 99.9999091165773, 99.9992773397112, 99.99934886141992]",B
"['D', ')', ' Cong', 'en', 'ital', ' cyst', 'ic', ' aden', 'omat', 'oid', ' mal', 'formation']","[-0.12221999, -4.3202e-07, -7.89631e-07, -2.0100624e-05, -4.1273333e-06, -2.577686e-06, -4.3202e-07, -1.8624639e-06, -1.9361265e-07, -3.1281633e-07, -4.3202e-07, -1.4498052e-05]","[88.4953666130113, 99.99995679800934, 99.99992103693117, 99.99798995780161, 99.99958726752173, 99.99974223173223, 99.99995679800934, 99.99981375378344, 99.99998063873687, 99.99996871837189, 99.99995679800934, 99.99855020530963]",D
"['C', ')', ' CS', 'F', ' examination']","[-0.9449097, -1.9361265e-07, -1.2664457e-06, 0.0, -1.2233183e-05]","[38.871467025171725, 99.99998063873687, 99.99987335551019, 100.0, 99.9987766891825]",C
"['B', ')', ' Opp', 'osite', ' side']","[-0.026755136, -4.3202e-07, -6.9882217e-06, -1.9862217e-05, -1.1994775e-05]","[97.35996118343442, 99.99995679800934, 99.99930118027176, 99.99801379802526, 99.9988005296937]",B
"['A', ')', ' Stre', 'pt', 'oc', 'occus', ' pneumonia', 'e']","[-0.04849538, -7.89631e-07, 0.0, -1.7432603e-06, -1.0802739e-05, -5.371606e-05, -5.6769813e-06, -5.5122365e-07]","[95.26617405929095, 99.99992103693117, 100.0, 99.99982567412195, 99.99891973193493, 99.99462853826817, 99.9994323034814, 99.9999448776502]",A
"['A', ')', ' Hen', 'och', ' Sch', 'ou', 'lein', ' pur', 'p', 'ura']","[-0.02138415, -2.577686e-06, -7.465036e-06, -2.3392786e-06, -0.0001823258, -0.1355669, -1.0700625, -0.082094915, -2.0219828e-05, -1.3186812e-05]","[97.88428698472391, 99.99974223173223, 99.99925349918634, 99.9997660724136, 99.98176908203385, 87.32207425066643, 34.29870800562926, 92.11845203180614, 99.99797803764193, 99.99868132749457]",A
"['B', ')', ' It', ' increases', ' the', ' surface', ' energy', ' &', ' w', 'ets', ' the', ' dent', 'in', ' surface']","[-0.04306873, -4.3202e-07, -4.441817e-05, -2.0458236e-05, -6.392203e-06, -6.704273e-07, -9.0883464e-07, -1.6286107e-05, -9.0883464e-07, -4.00813e-06, 0.0, -1.2664457e-06, -1.147242e-06, -4.365741e-06]","[95.78455550796366, 99.99995679800934, 99.99555828164723, 99.99795419732683, 99.99936078174301, 99.99993295729247, 99.9999091165773, 99.99837140256179, 99.9999091165773, 99.99959918780326, 100.0, 99.99987335551019, 99.99988527586581, 99.99956342685299]",B
"['A', ')', ' LH', ' surge']","[-0.00014120422, -2.1008714e-06, 0.0, -6.0345924e-06]","[99.98588057488466, 99.99978991308069, 100.0, 99.99939654258081]",A
"['A', ')', ' Pub', 'ic', ' sym', 'ph', 'ysis']","[-0.07593841, -3.650519e-06, -7.226629e-06, -1.1041146e-05, -5.5577775e-06, -4.604148e-06, 0.0]","[92.68732909274394, 99.99963494876631, 99.9992773397112, 99.99889589149532, 99.99944422379444, 99.99953958625991, 100.0]",B
"['D', ')', ' Session', ' judge']","[-2.565339, -3.1281633e-07, -9.0883464e-07, -0.00025752498]","[7.689311025864096, 99.99996871837189, 99.9999091165773, 99.97425081767113]",B
"['A', ')', ' St', 'af', 'ne', '’s', ' bone', ' cavity']","[-0.0005320639, -1.2664457e-06, -2.9352968e-06, -4.00813e-06, -1.2829201e-05, -0.0069202078, -7.9702455e-05, -2.8160932e-06]","[99.94680776208963, 99.99987335551019, 99.9997064707508, 99.99959918780326, 99.99871708812938, 99.31036816994661, 99.99203007211563, 99.99971839107651]",A
"['B', ')', ' Ex', 'hum', 'ation']","[-0.24663922, -2.1008714e-06, -5.5122365e-07, -2.3392786e-06, -3.4121115e-06]","[78.14225643144019, 99.99978991308069, 99.9999448776502, 99.9997660724136, 99.99965878943212]",A
"['B', ')', ' Japanese', ' en', 'ceph', 'al', 'itis']","[-0.39535934, -1.3856493e-06, -1.0445127e-05, -5.4788892e-05, -4.4849444e-06, -8.299462e-06, -9.0883464e-07]","[67.34380025529015, 99.99986143516601, 99.99895549275502, 99.99452126088839, 99.99955150656574, 99.99917005724404, 99.9999091165773]",B
"['D', ')', ' Poly', 'hy', 'd', 'rom', 'n', 'ios']","[-0.00021378823, -4.3202e-07, -2.808727e-05, -1.1517961e-05, -3.7697225e-06, -0.32945937, -1.1279553e-05, -1.3856493e-06]","[99.97862346210752, 99.99995679800934, 99.99719131244437, 99.99884821053314, 99.99962302846053, 71.93125102526685, 99.9988720510614, 99.99986143516601]",A
"['C', ')', ' More', ' chances', ' of', ' displacement']","[-0.020352907, 0.0, -1.6240566e-06, -1.50940705e-05, -3.1281633e-07, -1.6240566e-06]","[97.98528153649885, 100.0, 99.99983759447187, 99.9984906043415, 99.99996871837189, 99.99983759447187]",C
"['A', ')', ' Ad', 'hesion']","[-0.004029838, -9.0883464e-07, -1.9361265e-07, -1.378283e-05]","[99.59782709009771, 99.9999091165773, 99.99998063873687, 99.99862172649827]",A
"['C', ')', ' ', '6', ' months']","[-0.5927943, -6.704273e-07, -5.1928004e-05, -6.869018e-06, -3.0545007e-06]","[55.27804901133404, 99.99993295729247, 99.99480733442354, 99.99931310055916, 99.9996945503965]",C
"['A', ')', ' Cy', 'to', 'chrome', ' P', '-', '450']","[-6.7901296e-05, -5.5122365e-07, -9.0883464e-07, -3.2929079e-06, -8.053688e-05, 0.0, -4.3202e-07, -1.9361265e-07]","[99.99321010092407, 99.9999448776502, 99.9999091165773, 99.99967070975217, 99.99194663630074, 100.0, 99.99995679800934, 99.99998063873687]",A
"['A', ')', ' LDL', ' receptor']","[-9.3530085e-05, -5.5122365e-07, -7.3458323e-06, -2.3392786e-06]","[99.99064742888021, 99.9999448776502, 99.99926541946806, 99.9997660724136]",A
"['A', ')', ' Dent', 'ure', ' contains', ' broken', ' teeth']","[-0.19705768, -1.0280384e-06, -1.9361265e-07, -3.9888433e-05, -1.2948405e-05, -4.9617593e-06, -5.5122365e-07]","[82.11432684029457, 99.99989719621284, 99.99998063873687, 99.9960112362533, 99.99870516788303, 99.99950382530095, 99.9999448776502]",C
"['C', ')', ' Ade', 'quate', ' liquor', ' am', 'n', 'ii']","[-0.06812247, 0.0, 0.0, -2.9279307e-05, -3.7697225e-06, -1.9361265e-07, -6.4325184e-05, -4.3202e-07]","[93.41460617031686, 100.0, 100.0, 99.99707211216348, 99.99962302846053, 99.99998063873687, 99.99356768848203, 99.99995679800934]",C
"['C', ')', ' Vitamin', ' D']","[-5.4908094e-05, -1.9361265e-07, -3.1281633e-07, -1.2664457e-06]","[99.99450934134218, 99.99998063873687, 99.99996871837189, 99.99987335551019]",C
"['A', ')', ' Is', 'olated', ' sec', 'und', 'um', ' ASD']","[-0.14721544, -4.4849444e-06, -1.60477e-05, -1.998142e-05, -3.4405064e-05, -7.8033605e-05, -7.493431e-05, -7.703444e-06]","[86.31080093950195, 99.99955150656574, 99.99839524287637, 99.99800187796272, 99.99655955278475, 99.99219694395426, 99.99250684975053, 99.99922965856715]",D
"['D', ')', ' CT']","[-0.044813495, -4.3202e-07, -5.1689596e-05]","[95.61757967712461, 99.99995679800934, 99.99483117398842]",C
"['B', ')', ' Cong', 'en', 'ital', ' dis', 'location', ' of', ' the', ' hip', ' joints']","[-0.000118324446, -1.9361265e-07, -3.1281633e-07, -2.3438328e-05, -3.500108e-05, -1.3856493e-06, -2.6060809e-05, -3.1281633e-07, -5.5122365e-07, -1.2664457e-06, -2.577686e-06]","[99.98816825540612, 99.99998063873687, 99.99996871837189, 99.99765619466756, 99.99649995325306, 99.99986143516601, 99.997393953058, 99.99996871837189, 99.9999448776502, 99.99987335551019, 99.99974223173223]",B
"['D', ')', ' Direct', ' and', ' indirect', ' retain', 'ers']","[-0.11944989, -1.0280384e-06, -1.2664457e-06, -6.704273e-07, -8.061054e-06, -1.9361265e-07, -3.1281633e-07]","[88.74084747435919, 99.99989719621284, 99.99987335551019, 99.99993295729247, 99.99919389784903, 99.99998063873687, 99.99996871837189]",C
"['B', ')', ' Under', ' angle', ' of', ' jaw']","[-0.001137239, -6.704273e-07, -1.3663626e-05, -0.010253326, -3.1281633e-07, -3.6789137e-05]","[99.8863407411207, 99.99993295729247, 99.99863364673469, 98.97990601500611, 99.99996871837189, 99.9963211539712]",B
"['B', ')', ' E', 'rys', 'ipel', 'oth', 'rix']","[-0.00015181334, -1.9361265e-07, -5.5122365e-07, -9.729906e-06, -1.27099975e-05, -1.9361265e-07, -8.8404326e-05]","[99.98481981830619, 99.99998063873687, 99.9999448776502, 99.99902701413353, 99.99872900832717, 99.99998063873687, 99.99115995815473]",B
"['B', ')', ' Pop', 'lite', 'us']","[-3.8100377e-05, -4.246537e-06, -2.220075e-06, -5.3193703e-06, -4.3202e-07]","[99.99619003488101, 99.99957534720166, 99.99977799274644, 99.99946806438477, 99.99995679800934]",B
"['D', ')', ' Ur', 'ine', ' microscopy', ' for', ' malignant', ' cyt', 'ology', ' cells']","[-0.00040290577, -3.1281633e-07, 0.0, -7.822647e-06, -2.1411865e-05, 0.0, -2.577686e-06, -4.8425554e-06, -6.704273e-07, -2.4584822e-06]","[99.959717538563, 99.99996871837189, 100.0, 99.99921773835968, 99.99785883642323, 100.0, 99.99974223173223, 99.99951574563252, 99.99993295729247, 99.9997541520822]",D
"['C', ')', ' Polymer', 'ase', ' chain', ' reaction']","[-0.00030090412, -5.5122365e-07, -2.4584822e-06, -3.2929079e-06, -1.0564331e-05, -1.9361265e-07]","[99.96991411471042, 99.9999448776502, 99.9997541520822, 99.99967070975217, 99.99894357248024, 99.99998063873687]",C
